LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
DVT8525DS1,56,138778,178895,401,64,9,3.04,12,0.32,Master's,Self-employed,Widowed,No,Yes,Other,No,1
XZDFN6SHJJ,69,72292,173280,805,82,7,11.28,24,0.51,Bachelor's,Unemployed,Single,Yes,Yes,Education,No,0
ZZC79IODRE,46,33833,59061,546,153,5,15.56,36,0.67,Bachelor's,Unemployed,Married,No,No,Other,No,0
34NSGCS3BK,32,145230,166731,836,265,8,13.53,12,0.6,Bachelor's,Full-time,Divorced,No,Yes,Business,Yes,1
CF243529IU,60,30309,106376,430,308,2,21.97,60,0.77,Master's,Part-time,Widowed,No,No,Home Improvement,No,0
O7MQR31ULR,25,16970,167962,652,78,7,5.32,36,0.35,Master's,Unemployed,Married,No,Yes,Other,No,0
E4ORJ0EXJV,78,82474,84134,495,314,4,15.18,72,0.61,High School,Self-employed,Widowed,No,No,Home Improvement,No,0
KVN7XP1UBV,38,56540,52055,681,149,9,14.29,36,0.18,Bachelor's,Unemployed,Widowed,No,No,Business,No,0
KRVHVTQ2H0,56,28017,24508,526,47,1,9.19,60,0.47,PhD,Unemployed,Widowed,No,Yes,Education,No,0
JZ4EYUBKYL,75,85880,178359,775,247,7,21.09,48,0.78,Master's,Part-time,Single,Yes,Yes,Home Improvement,Yes,1
T275O91RTV,36,115570,163056,776,277,6,19.56,60,0.72,High School,Unemployed,Single,Yes,No,Business,No,0
66BC32212O,40,18702,115169,564,355,8,19.12,60,0.99,Bachelor's,Full-time,Widowed,No,No,Home Improvement,No,1
G0N3Q182MK,28,141456,13125,671,97,5,22.28,48,0.35,PhD,Self-employed,Divorced,No,Yes,Other,Yes,1
4USNGSR928,28,10404,41059,785,24,1,18.9,48,0.55,Master's,Part-time,Married,No,Yes,Business,Yes,1
1HVBLEZXYM,41,22763,108409,733,283,1,8.1,48,0.4,PhD,Self-employed,Divorced,No,Yes,Other,No,0
JI5SVYVE9W,70,108142,153159,510,300,9,18.52,48,0.5,Master's,Full-time,Single,No,No,Auto,No,0
80P1T6UA4J,53,90642,10704,676,67,6,9.77,48,0.87,High School,Full-time,Married,No,Yes,Business,No,0
ZU6TZR456W,57,60612,196648,694,6,5,8.33,60,0.72,PhD,Unemployed,Widowed,Yes,Yes,Home Improvement,No,0
D93OYBO6L8,41,33574,116279,749,304,1,4.61,24,0.89,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,Yes,1
JRMBXXE06J,20,33524,163280,663,136,6,19.37,24,0.28,Bachelor's,Unemployed,Divorced,No,Yes,Other,No,1
HO4XCVC2W6,39,20916,123516,756,163,6,18.64,12,0.89,Master's,Self-employed,Widowed,No,Yes,Other,Yes,1
FRR2CH21KV,70,14809,175954,525,82,3,8.16,24,0.15,Bachelor's,Full-time,Divorced,No,No,Home Improvement,No,0
